Date,Close/Last
11/11/2022,4000.25
11/10/2022,3961
11/09/2022,3755.5
11/08/2022,3835.25
11/07/2022,3815.25
11/04/2022,3779.5
11/03/2022,3727.75
11/02/2022,3768.75
11/01/2022,3866
10/31/2022,3883
10/28/2022,3911.25
10/27/2022,3819.5
10/26/2022,3841
10/25/2022,3870.25
10/24/2022,3809.25
10/21/2022,3764
10/20/2022,3675.25
10/19/2022,3707.25
10/18/2022,3732.75
10/17/2022,3689.25
10/14/2022,3597.5
10/13/2022,3681.75
10/12/2022,3588.5
10/11/2022,3599.25
10/10/2022,3625.25
10/07/2022,3653.25
10/06/2022,3756.75
10/05/2022,3794
10/04/2022,3803.25
10/03/2022,3690.25
09/30/2022,3601.5
09/29/2022,3654.25
09/28/2022,3732
09/27/2022,3661
09/26/2022,3670
09/23/2022,3709
09/22/2022,3772
09/21/2022,3806.25
09/20/2022,3872.75
09/19/2022,3917.25
09/16/2022,3890
09/15/2022,3919.25
09/14/2022,3965.5
09/13/2022,3931.25
9/12/2022,4110.75
9/09/2022,4067.25
9/08/2022,4005.5
9/07/2022,3980
9/06/2022,3910.5
9/02/2022,3924.5
9/01/2022,3968.75
08/31/2022,3956.5
08/30/2022,3987.5
08/29/2022,4031.25
08/26/2022,4059.5
08/25/2022,4201
08/24/2022,4142.75
08/23/2022,4130.5
08/22/2022,4141.25
08/19/2022,4231.5
08/18/2022,4286.5
08/17/2022,4276.75
08/16/2022,4307.75
08/15/2022,4298.25
8/12/2022,4281
8/11/2022,4209.75
8/10/2022,4210
8/09/2022,4124.5
8/08/2022,4141.75
8/05/2022,4146.75
8/04/2022,4152.25
8/03/2022,4156.25
8/02/2022,4093.75
8/01/2022,4120.5
07/29/2022,4133.5
07/28/2022,4073.5
07/27/2022,4024.5
07/26/2022,3923.25
07/25/2022,3970
07/22/2022,3965
07/21/2022,4001.25
07/20/2022,3962.5
07/19/2022,3937.5
07/18/2022,3833.75
07/15/2022,3865
07/14/2022,3793.25
07/13/2022,3804.5
7/12/2022,3823.75
7/11/2022,3856.75
7/08/2022,3901.25
7/07/2022,3905
7/06/2022,3848.25
7/05/2022,3834
7/01/2022,3827.25
06/30/2022,3789.5
06/29/2022,3821.25
06/28/2022,3825.5
06/27/2022,3903.75
06/24/2022,3916.25
06/23/2022,3799.75
06/22/2022,3762.75
06/21/2022,3767.75
06/17/2022,3675.75
06/16/2022,3671.25
06/15/2022,3793.5
06/14/2022,3736.75
06/13/2022,3750.5
6/10/2022,3899
6/09/2022,4016.25
6/08/2022,4114
6/07/2022,4158.75
6/06/2022,4120.5
6/03/2022,4107
6/02/2022,4175.25
6/01/2022,4099
05/31/2022,4131.25
05/27/2022,4155.75
05/26/2022,4055.75
05/25/2022,3976.75
05/24/2022,3940.5
05/23/2022,3971.75
05/20/2022,3899.5
05/19/2022,3897.75
05/18/2022,3922.75
05/17/2022,4084.75
05/16/2022,4004.75
05/13/2022,4019.75
5/12/2022,3927.25
5/11/2022,3930.25
5/10/2022,3996.75
5/09/2022,3987.5
5/06/2022,4119.5
5/05/2022,4143.25
5/04/2022,4295.25
5/03/2022,4169.25
5/02/2022,4151
04/29/2022,4127.5
04/28/2022,4283.5
04/27/2022,4180.25
04/26/2022,4170.5
04/25/2022,4292.75
04/22/2022,4267.25
04/21/2022,4390.5
04/20/2022,4455.5
04/19/2022,4459.25
04/18/2022,4386.75
04/14/2022,4387.5
04/13/2022,4442.25
4/12/2022,4393
4/11/2022,4409
